,index,title,price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,countries_shipped_to,inventory_total,origin_country,merchant_name,merchant_rating_count,merchant_rating,merchant_id,product_id
10,10,Femmes Mode Été Lâche Sans Manches Poches Couleur Unie Maxi Dress Robe Décontractée Plus La Taille,5.79,5,EUR,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,25,50,CN,mayuhiao,9470,3.9568109820485744,5952a218e81e8a4c30b5bbbc,5cac5af68de7960d89e54fe0
11,11,Été Sexy Femmes Mode Casual Lâche Tops Casual T-Shirt D'été Col En V Solide Couleur Plus La Taille À Manches Courtes Blouse,6.0,8,EUR,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,40,50,CN,lanniesdesign,3515,3.983783783783784,56cd27b048e91e13aa3986e4,5ec49d527d7044ccfa3f1c04
12,12,Shorts de causalité d'été de nouvelles femmes Pantalon court à cordon Pantalon court lâche,1.91,6,EUR,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,38,50,CN,easymarket,557,4.123877917414721,5d3c419de4b65d4fb81e7286,5e9da39dc737cf255eddd4bf
13,13,"Mode féminine sans manches col profond croix sangle spaghetti couleur unie débardeur chemisier lâche plage gilet haut et chemisier été T-shirts décontractés, plus la taille",5.79,42,EUR,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,43,50,CN,molesfashion,5083,3.9474719653747785,566eaa533a698c6442549a74,5d1db3c0e2b5cc0f74e091af
14,14,2019 Summer Women's Fashion Nouvelle robe sans manches à pois à encolure en V et à bretelles en V sans dos Mini robes casual casual top,2.0,2,EUR,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",yellow,36,50,CN,pentiumhorse,55499,4.138885385322258,5926c5ace8ff5525241b368d,5cc2ce18bc97595b6549fa14
15,15,Mode d'été Flare Sleeve Plus Size T-shirt hors de l'épaule mignon couleur unie haut chemise à manches longues,11.0,81,EUR,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts",Black,41,50,CN,pethasboutique,39381,4.066326401056347,566012f6769a5629aefca555,5c85d47641ec3b55d4d14f79
16,16,Nouvelle mode d'été pour femmes Robe sans manches à pois à pois et encolure en V Mini robe à bretelles sans dos Robe de soirée sans dos Robes décontractées Top Robes décontractées,11.0,10,EUR,10000,0,3.72,2058,840.0,435.0,386.0,158.0,239.0,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress",red,34,50,CN,2312hangm,6302,3.958425896540781,5b8beef49996c87b299cdbec,5cd3e795ebe403118bbc0f89
17,17,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Dentelle sans manches Crop Cops,5.0,25,EUR,100000,1,3.83,17980,8290.0,3483.0,2951.0,1410.0,1846.0,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",white,41,50,CN,leiston,139223,3.933581376640354,5708773c3c02161b3f8c7900,5b07a7c6e997b33c6f9947da
18,18,Débardeur d'été 5 Couleurs Grandes Tailles été Femme Mode Femme Débardeur décontracté sans manches Débardeur été Sexy Découpe dos ouvert double épaisseur (S-5XL),9.0,9,EUR,20000,0,3.82,5479,2456.0,1162.0,853.0,431.0,577.0,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women",blue,43,50,CN,centper3,22089,4.081624337905745,59cdc2112351344fc0dfa54f,5a8f82375e2ae101c8913122
19,19,S ~ 5XL Zipper Vest Tee Nouveau Col En V Sans Manches Plus La Taille Slim Fit Débardeurs D'été Solide Couleur Casual Tops Blouses,7.0,7,EUR,1000,0,3.67,214,87.0,36.0,49.0,17.0,25.0,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual",red,41,50,CN,chenqinq,3592,4.062360801781737,5ae296b6cd968d66be12d247,5cf648ce373ac2069fd6317d
20,20,Top Maillot de bain Ensembles Mode Maillots de bain Femme Bikini 2016 Sexy rembourré,11.0,10,EUR,5000,0,3.84,1183,506.0,274.0,216.0,81.0,106.0,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming",green,69,50,CN,hongkonghaijietradecolimited,23609,4.256597060443052,5576bb43de4a8c24953ae98f,57416238fc6f7d5d698f3c9f
21,21,Gilet d'été pour femmes Gilet de mode couleur unie pour femmes T-shirt sans manches en coton T-shirt à lacets Hollow Sexy Slim T-shirt débardeur à débardeur,5.0,6,EUR,20000,0,3.6,3552,1437.0,632.0,610.0,358.0,515.0,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",black,41,50,CN,ouchocoltd,12913,3.981336637497096,55ed5a3362e273427107759e,5c244b73e6a1c618296f73db
22,22,Conception de rosée Femmes Mode D'été Sexy Col En V Gilet Bouton Bretelle Spaghetti Débardeur Coton Sans Manches Débardeur Couleur Unie Camisole Casual Lâche Tops Vacances Plage Porter Plus La Taille S-5XL 5 Couleurs,11.0,26,EUR,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button",armygreen,51,50,CN,huaxianglarou,4516,4.231842338352524,5ae93337d204cc177313f242,5e1056784fff5f26e6f1745d
23,23,Mode d'été Femmes À Manches Courtes U-cou Slim T-shirt Style Décontracté Coton Pull Femmes Mode Tee Plus La Taille Blouse Tops Tee,7.0,6,EUR,5000,1,3.67,510,213.0,98.0,85.0,45.0,69.0,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women",armygreen,138,50,CN,purefashionltd,96838,4.264658501827795,5cb636dda7173671aedef051,5d15731024c17f6b8b9bd97a
24,24,Nouvelle mode pour dames Débardeurs d'été Tops Débardeurs d'été Chemises sexy dos nu Gilet d'été Tops,5.71,5,EUR,1000,0,3.75,678,290.0,145.0,104.0,61.0,78.0,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion",black,43,50,CN,sjhdstoer,80093,4.006692220293909,583138b06339b410ab9663ec,5c63adf7edc5d6528e8b1ca3
25,25,2018 Mode d'été Femme Camouflage décontracté Camouflage Tank Top Gilet sans manches à col O,9.0,32,EUR,1000,0,4.15,567,323.0,116.0,58.0,28.0,42.0,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t",armygreen,41,50,CN,terbuer,9395,4.1100585417775415,575cfe470551415caa5505b5,5bed2a42bdf0421a30e62c6c
26,26,Nouveau Femme Dentelle Crochet Bikini Maillot de bain Maillot de bain Maillot de bain Maillot de bain d'été,9.0,9,EUR,1000,0,4.03,216,105.0,48.0,39.0,12.0,12.0,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace",unknown,60,50,US,coaluss,4298,4.22940902745463,5a0fe8770a332a615df86c5e,5b5edbae1e222732845e655f
27,27," Printemps/Été Mode Femme ""miel"" Lettre Imprimé sans manches Chemise Sexy Brodée Gilet Bodycon Tricoté Gilet Coton Veste Tenue décontractée Débardeur Décontracté ",5.65,5,EUR,20000,0,4.29,2996,1781.0,628.0,374.0,104.0,109.0,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",white,43,50,CN,happyshoooping,40943,4.017487726839753,56c6f731bc435416ed5984d7,5a4f2d8f5dcd0221008b2c36
28,28,2020 nouvelle mode d'été femmes sans manches noir blanc rose festonné garniture profonde col en V dentelle gilet solide mince débardeurs Tee,1.74,2,EUR,100,1,4.25,12,7.0,3.0,1.0,0.0,1.0,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,41,50,CN,memo2,18138,3.831513948616165,58ba636a69ad29505a730852,5e5e09065b03ef0b420f333f
29,29,4 Couleur Femmes Mode Casual Couleur Unie Tops Sans Manches Gaine Mode Été Plus La Taille Bref Pull Sans Bretelles Court Coton Tunique Top Crop Top,5.65,6,EUR,1000,0,4.06,301,156.0,70.0,34.0,18.0,23.0,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton",white,54,50,CN,meiximeiyo,7034,4.060278646573784,5adef3559d5e9767b3177472,5cc0049aca0c3b3d01a87964
30,30,HODMEXI Mode Amour Graffiti Imprimer Robe D'été À Manches Courtes Robes De Soirée Plus La Taille Femmes Vêtements Vestidos,14.0,76,EUR,100,0,4.06,31,17.0,4.0,6.0,3.0,1.0,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion",unknown,36,50,CN,hotdress,51369,3.9682688002491777,539937d634067e06707b1a8e,5c9d920da94960780239d468
31,31,Sweet Beading Cami Débardeurs pour femmes Spaghetti Strap Summer Vest Tops,5.65,6,EUR,1000,1,4.37,217,137.0,42.0,24.0,9.0,5.0,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt",black,38,50,CN,newfashionshoppingpark,44837,4.065905390637197,54d30f53dc8ce133f79b434d,5c9ee457c233fd74ef4c8a84
32,32,Femmes d'été Sling Robes Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,8.0,7,EUR,1000,0,3.81,443,215.0,76.0,65.0,29.0,58.0,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women",khaki,46,50,CN,kallyett,3460,3.8708092485549135,5d49403060c79c113a908720,5dc4488112f5e91a9d4bb52e
33,33,T-shirts de couleur unie Bandeau Yoga Gilet Hors Épaule Femmes Sans Bretelles Soutien-Gorge Tube Crop Top,2.66,3,EUR,5000,0,3.44,1136,418.0,187.0,201.0,133.0,197.0,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",black,22,50,CN,maxgoods,223392,4.3063628061882255,547bdd648edcfa5656cac810,5b582d5ec4561c4f6b53feeb
34,34,Femmes Mode Gilet Plus La Taille Lâche Casual Pure Couleur Dentelle Sans Manches Camisole D'été Débardeurs,9.0,8,EUR,10000,0,3.8,1231,555.0,240.0,211.0,87.0,138.0,"Summer,Vest,Plus Size,Tank,Lace,Tops,Loose,beach wear,Women's Fashion,Pure Color,sleeveless,Fashion,Casual,Women Fashion,Women",yellow,45,50,CN,sangboostore,10600,3.8675471698113206,582833faea77701b456c786a,5cae1d6c836ecb39e57e9e80
35,35,Imprimé floral épaule froide à volants été manches courtes chemisier fluide grande taille hauts sexy,11.0,10,EUR,1000,0,4.16,274,162.0,47.0,34.0,10.0,21.0,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion",white,31,50,CN,linfashionstore,13946,4.000143410296859,559d33adc605853731afbf10,5b10cf0b7cc4492c87411045
36,36,Mode d'été femme papillon réservoir gilet sans manches col rond haut décontracté,8.0,17,EUR,100,1,2.75,8,2.0,0.0,3.0,0.0,3.0,"butterflyprint,Vest,Plus Size,Necks,Tops,Spaghetti Strap,tank top,Casual,Round neck,Fashion,sleeveless tops,Casual Tops,summervest,womens vest",blue,40,50,CN,unnistore,47981,4.025364206665138,5684eae9daaaee26a0fdadba,5eb4dcebdaa4b90940076979
37,37,New Women Ladies Fashion Summer Skinny High Wasist Washed Short Jeans Pants,14.0,12,EUR,5000,1,4.06,643,365.0,109.0,73.0,33.0,63.0,"Women Pants,womens jeans,Shorts,Ladies Fashion,Hot pants,pants,Short pants,Women's Fashion,skinnyshort,summerpant,Fashion,Summer,Denim Shorts,solid color,sexy,Jeans,Ladies,Women Fashion,Women",navyblue,43,50,CN,sjhdstoer,80093,4.006692220293909,583138b06339b410ab9663ec,5c80e8a150c63d28c67b8f14
38,38,Sweat-shirt à manches longues en coton à col rond pour femmes,5.8,8,EUR,100,1,3.83,6,3.0,1.0,1.0,0.0,1.0,"Summer,Fashion,Shirt,Necks,Loose,Round neck,Womens T Shirts,T Shirts,Print,sleeveless,Sweatshirts,Cotton,graphicprint",armygreen,43,50,CN,cuetaes,16741,3.920852995639448,55dc3dcd8950c811f73a48a4,5e7adc5458a95b3323a3c6eb
39,39,5 Couleur Femmes De Mode D'été Mince Sans Manches Imprimé Camouflage Robe Taille Haute À Lacets Casual Poche Mini Robes Plus La Taille S-5XL,13.0,13,EUR,1000,0,4.16,138,82.0,27.0,10.0,7.0,12.0,"Summer,Plus Size,Lace,Mini,Dress,slim,camouflage,Mini dress,Pocket,high waist,Women's Fashion,Fashion,Lace Up,t,print dress,Print,sleeveless,bodycon,Casual,Women Fashion,Waist",pink,41,50,CN,ouchocoltd,12913,3.981336637497096,55ed5a3362e273427107759e,5d2fd5a9af7a0c5b21369a05
40,40,Sexy Women Casual T-shirt rayé Long Tops Chemisier Chemisier Kaftan Beach Shirt Mini Robe,9.0,81,EUR,50000,0,4.26,5359,3111.0,1172.0,650.0,204.0,222.0,"blouse,Mini,Fashion,longtop,Shirt,kaftandresse,stripetee,Tops,short sleeves,Mini dress,T Shirts,Sexy Dress,Dress,Tops & Blouses,Beach,Women's Fashion,Casual,Women",black,40,50,CN,广州乔莎服饰有限公司,59198,4.105054224804892,54bcaabb39b8c00b482a115f,556fbe8595528719e004fa27
41,41,Mode féminine été bretelles spaghetti imprimé floral nouer devant mini robe robe sexy,7.0,68,EUR,10,0,1.5,2,0.0,0.0,0.0,1.0,1.0,"Mini,spaghettistrapdresse,Floral print,Summer,womensfahsion,Spaghetti,Dress,summer dress,Print,minidressforwomen,Mini dress,spaghettishoulderstrapdre,Women's Fashion,floralprinteddre,Sexy Dress,Floral,sexy,Fashion",white,43,50,CN,wenj498,397,3.858942065491184,5d48eef4b5144c50c2ac0af3,5ea69521f5e1e65a3c70faa8
42,42,NOUVEAU Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Rapidly Fitness Shorts,12.0,14,EUR,100,1,3.79,24,11.0,6.0,2.0,1.0,4.0,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton",black,22,50,CN,baijupingshop,196,4.020408163265306,5e5c7c2c77179e31406eece1,5ea7e2d999ecf941204c42ee
43,43,Été Nouvelles Femmes Mode Let It ~ Abeille Imprimé Casual Col Rond T-shirt Graphique Mignon À Manches Courtes T-shirts En Coton,3.69,40,EUR,100,0,3.53,59,22.0,11.0,12.0,4.0,10.0,"Summer,Shorts,Cotton,Cotton T Shirt,letter print,cute,teeshirthomme,short sleeves,Casual,Round neck,Women's Fashion,Fashion,printed,beetshirt,Women,Sleeve,T Shirts,Necks",grey,24,50,CN,wuewi,10917,4.3648438215627,58501ac7b9e3474c9f4b2afd,5e702eb03aa1f42076ffabc9
44,44,Nouveau Mode Femmes Dames Crochet Kimono Tops Manteau Creux,5.0,5,EUR,10000,1,3.82,3208,1467.0,607.0,558.0,241.0,335.0,"Fashion,Tops & Blouses,Coat,Tops,tank top,Hollow,Jacket,Women's Fashion,kimono,crochet,Ladies,Women,Women Clothing",white,63,50,CN,brittany,27055,4.151395305858436,56e6928521790d587623b3b4,57d3bc906cfeb9135f44ded5
45,45,Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top,5.84,56,EUR,100,0,3.28,36,11.0,4.0,11.0,4.0,6.0,"Summer,off shoulder top,Fashion,crop top,Spring,Vest,yoga top,Women's Fashion,tank top,sexy,Sport,summer tops,Women,fashion women,Fashion tank top,Tank,summer tank top,Tops,sexy tank top,Casual,Ladies,sleeveless,women top",armygreen,43,50,CN,happyshoooping,40943,4.017487726839753,56c6f731bc435416ed5984d7,5c136c3cb870cf4e458afee4
46,46,Costume de sport cool pour hommes d'été Vêtements de sport Costumes de jogging décontractés Ensembles de tenues à manches courtes,16.0,14,EUR,10,0,3.0,3,0.0,2.0,0.0,0.0,1.0,"Summer,Shorts,women's jogging suits,Sleeve,shortsleeveset,Short pants,summersuitset,short sleeves,Sport,summerpant,mensjoggingsuit,Suits,Sport Suits,short sleeve shirt,Outfits,men's suits,Casual",green,34,50,CN,qiaopiaduxiu,31,3.548387096774193,5e61c817039ce2184a0ed392,5e9a74e447f7d92c8db8d14b
47,47,Fashion Femmes Combinaisons Salopette Bohemia Maxi Robe Longue Femmes Robe Longue Imprimée Robe Femme Rose Boho Beach Shorts,13.0,50,EUR,1000,0,4.03,855,451.0,165.0,120.0,51.0,68.0,"bohemia,sleeveless,printeddre,Rose,long dress,Vintage,Dress,Women's Fashion,Beach,boho,Shorts,midcalfdre,vestido,jumpsuit,maxi dress,printed,Vintage dress,Fashion,Women",red & blue,32,50,CN,knights,9136,4.085704903677758,57108cd6a995b507211ef8fb,5af6bc9c13927d50370db58a
48,48,Robe d'été imprimée à fleurs à manches longues à col en V et à manches longues pour femmes,9.0,8,EUR,10000,0,3.18,1783,535.0,289.0,344.0,189.0,426.0,"Summer,Plus Size,Floral print,Lace,Sleeve,Long Sleeve,Dress,Loose,V-neck,Floral,Women's Fashion,Fashion,Floral dress,summer dress,Print,Casual,Necks",white,24,50,CN,fengjinying,10474,3.908535421042582,5b160017daac45594728d9ba,5d1573a55a16864c5de706ab
49,49,"Summer Fashion New Women Letter Funny O-neck T-shirt "" I Only Look Up To You "" Love T-shirt / "" Don't Flatter Yourself "" Graphic Tee / March T-shirt",7.0,6,EUR,100,0,3.8,61,28.0,11.0,12.0,2.0,8.0,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women",black,45,50,CN,enjoythesunshine,139607,4.216385997836785,59257409b674b15e8191b8de,5c9212fc8de79667e3c7ca59
50,50,Femmes Mode D'été Col En V Camisole Gilet Couleur Unie Tops Sans Manches T-shirt Lâche Casual Plus La Taille Débardeurs,11.0,20,EUR,100,0,3.43,14,5.0,3.0,2.0,1.0,3.0,"Summer,Vest,Plus Size,Tank,Necks,Tops,Loose,Women's Fashion,tank top,T Shirts,Fashion,V-neck,solid color,sleeveless,women top,Casual,Women",white,34,50,CN,chentengying,3120,4.174679487179487,5b0e27596b9302238a10c3f8,5ea2877224b9643185e52b58
51,51,Mode féminine Maillots de bain Deux pièces Split Bikini Set Summer Printed Beach Bathing Swimsuits,5.84,11,EUR,1000,0,4.19,307,171.0,71.0,35.0,12.0,18.0,"Summer,sexy bathing suit,Bikinis Set,splitbikiniset,Swimwear,Swimsuit,Bikini,Fashion,Two Pieces,printed,Women's Fashion,Women,Beach,splits",blue,40,50,CN,gettrendy,10377,4.172785968969837,548142ac653d51041ac1174f,5d806ae97c339c307264cf76
52,52,Womens Fashion 3D Skull Print Cut Out Back Tank Top Summer Chemise graphique sans manches Slim Fit Cotton Gothic Tee Tops Plus Size Vest,1.0,11,EUR,1000,1,3.8,5,3.0,0.0,1.0,0.0,1.0,"Summer,Vest,Fashion,slim,gothicshirt,tank top,punkshirt,T Shirts,Plus Size,gothic,skullshirt,Goth,summer tops,Cotton,Tank,Shirt,skull,graphic tee,Tops,Slim Fit,Women's Fashion,Tops & T-Shirts,Print,sleeveless",blue,41,50,CN,floraboutique,8197,3.858118823959985,5684ca0f73c0e02989b91cad,5ee717cbcb636e7b8b597fc3
